code,name,C_DTP_HepB_Hib_large_outages,C_DTP_HepB_Hib_large_patients,C_DTP_HepB_Hib_large_treated,C_DTP_HepB_Hib_large_vials,RouteFill,RouteName,RouteTrips,RouteTruckType,Route_L_vol_used_time,cooler,cooler_vol,cooler_vol_used,cooler_vol_used_time,freezer,freezer_vol,freezer_vol_used,freezer_vol_used_time,overstock_time,roomtemperature,roomtemperature_vol,roomtemperature_vol_used,roomtemperature_vol_used_time,tot_delivery_vol
10000000,Djamena Central,0,0,0,0,0.0,NA,0,NA,0.0,0.00037183446571958,9714.0,3.612,3.612,0.0,6238.0,0.0,0.0,0,3e-12,1000000000.0,0.003,0.003,0.0
10200000,Moundou,0,0,0,0,0.0,NA,0,NA,0.0,0.0006501925096254813,2857.0,1.8576000000000001,1.8576000000000001,0.0,0.0,0.0,0.0,0,2e-12,1000000000.0,0.002,0.002,9288.0
10201300,Moundou District,0,0,0,0,0.0,NA,0,NA,0.0,0.00172,420.0,0.7223999999999999,0.7223999999999999,0.0,612.0,0.0,0.0,0,8e-12,1000000000.0,0.008,0.008,4953.6
10201301,Bah,1,192,190,190,0.0,NA,0,NA,0.0,0.0018763636363636365,55.0,0.1032,0.1032,0.0,36.0,0.0,0.0,0,2e-12,1000000000.0,0.002,0.002,2476.7999999999997
10201200,Laokassy,0,0,0,0,0.0,NA,0,NA,0.0,0.0035586206896551726,87.0,0.30960000000000004,0.30960000000000004,0.0,300.0,0.0,0.0,0,3e-12,1000000000.0,0.003,0.003,2476.7999999999997
10201201,Baila Laoutaye,1,192,190,190,0.0,NA,0,NA,0.0,0.0018763636363636365,55.0,0.1032,0.1032,0.0,36.0,0.0,0.0,0,2e-12,1000000000.0,0.002,0.002,2476.7999999999997
10201100,Benoye,0,0,0,0,0.0,NA,0,NA,0.0,0.0014535211267605634,142.0,0.2064,0.2064,0.0,336.0,0.0,0.0,0,4e-12,1000000000.0,0.004,0.004,2476.8000000000006
10201106,Bira Manda,5,192,182,182,0.0,NA,0,NA,0.0,0.0018763636363636365,55.0,0.1032,0.1032,0.0,36.0,0.0,0.0,0,2e-12,1000000000.0,0.002,0.002,2373.6
0,NA,0,0,0,0,0.0005203361344537816,A,7,C_coldtruck_N,1.8576000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0,NA,0,0,0,0,0.020640000000000002,r10201201,24,C_motorbike,0.1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0,NA,0,0,0,0,0.0024927536231884057,MM,12,C_ToyotaHilux_4x4,0.2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0,NA,0,0,0,0,0.020640000000000002,r10201106,23,C_motorbike,0.1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0,NA,0,0,0,0,0.00028907563025210085,L,8,C_coldtruck_M,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0,NA,0,0,0,0,0.020640000000000002,r10201301,24,C_motorbike,0.1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
