Make,Model,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes
mothernature,outdoors,U,U,,,1000000000,OUTDOORS,Fridge,,,,
generic,ColdBoxLarge,U,B,,52.65,,N_GenericColdBoxLarge_U_B,Fridge,,,,47x36x25.5 cc at 100% utilization
generic,ColdBoxLarge,U,I,52.65,0,,N_GenericIceBoxLarge_U_I,Fridge,,,,47x36x25.5 cc at 100% utilization
generic,LargeCarrier,U,I,,5,,N_LargeCarrier_U_I,AlarmedIceFridge,40,30,1,10x10x16 cc at 100% utilization
generic,StdColdBox,U,I,0,40,,N_StdCarrier_U_I,AlarmedIceFridge,40,30,1,made up by Joel
generic,IceCarrier,U,I,40,0,,N_IceCarrier_U_I,AlarmedIceFridge,40,30,1,made up by Joel
BP SOLAR,VR50F,1997,S,0,18,,N_VR50F_1997_S,Fridge,,,,
BP SOLAR,VR50F,1999,S,0,18,,N_VR50F_1999_S,Fridge,,,,
Electrolux,FCW20EG/CF,1996,G,14,0,,N_FCW20EGCF_1996_G,Fridge,,,,
Electrolux,RA302,1998,G,30,68,,N_RA302_1998_G,Fridge,,,,
Electrolux,RCW42EG/CF,1996,E,0,11,,N_RCW42EGCF_1996_E,ElectricFridge,,,,
Electrolux,RCW42EG/CF,1996,G,0,11,,N_RCW42EGCF_1996_G,Fridge,,,,
Electrolux,RCW42EG/CF,1997,G,0,11,,N_RCW42EGCF_1997_G,Fridge,,,,
Electrolux,RCW42EG/CF,1998,G,0,11,,N_RCW42EGCF_1998_G,Fridge,,,,
Electrolux,RCW42EG/CF,1999,E,0,11,,N_RCW42EGCF_1999_E,ElectricFridge,,,,
Electrolux,RCW42EG/CF,1999,G,0,11,,N_RCW42EGCF_1999_G,Fridge,,,,
Electrolux,RCW42EG/CF,2000,G,0,11,,N_RCW42EGCF_2000_G,Fridge,,,,
Electrolux,RCW42EG/CF,2001,E,0,11,,N_RCW42EGCF_2001_E,ElectricFridge,,,,
Electrolux,RCW42EG/CF,2001,G,0,11,,N_RCW42EGCF_2001_G,Fridge,,,,
Electrolux,RCW42EG/CF,2002,E,0,11,,N_RCW42EGCF_2002_E,ElectricFridge,,,,
Electrolux,RCW42EG/CF,2002,G,0,11,,N_RCW42EGCF_2002_G,Fridge,,,,
Electrolux,RCW42EG/CF,2003,G,0,11,,N_RCW42EGCF_2003_G,Fridge,,,,
