"CATEGORY","FUNCTION","NAME","idcode","Device Utilization Rate","UseVialsLatency","UseVialsInterval","Latitude","Longitude","12-24months","0-11months","0-11monthsBCG","Service2","Service1","Inventory","Notes"
"Central","Distribution","D?p?t Central*",1000000,1.0,7.0,1.0,13.53,2.12,"","","","","","2*N_cold_truck+13*Std_ColdRoomFridge_U+6*Std_ColdRoomFreezer_U+1*N_MF304_2003_E+2*N_MF314_2003_E+1*N_TFW800_2003_E",""
"Region","Distribution","AGADEZ",1010000,1.0,7.0,1.0,16.98,7.99,"","","","","","1*N_4x4_truck+1*N_MF314_2002_E+2*N_MF314_2004_E+1*N_V170GE_2006_E+1*N_V170GE_2008_E",""
"District","Distribution","Agadez",1010100,1.0,7.0,1.0,16.98,7.99,"","","","","","2*N_vaccine_carrier_WHO_PQS+2*N_4x4_truck+1*N_MF304_2008_E+1*N_V170GE_2007_E+2*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Caisse",1010101,1.0,7.0,1.0,"","",758,831,831,"",1,"1*N_RCW50EGCF_2007_E+1*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Centre",1010102,1.0,7.0,1.0,16.9662,7.97506,758,831,831,"",1,"1*N_LargeCarrier_U_I",""
"District","Distribution","Arlit",1010200,1.0,7.0,1.0,18.74,7.38,"","","","","","2*N_vaccine_carrier_WHO_PQS+1*N_TCW1151CF_2002_E+1*N_TCW1990_2004_E+1*N_TFW800_2005_E+1*N_V170EK_2003_E+1*N_V170GE_2003_E+2*N_V170GE_2004_E",""
"Integrated Health Center","Administration","Arlit",1010201,1.0,7.0,1.0,18.74,7.38,365,400,400,"","","1*N_V170GE_2005_E",""
"Integrated Health Center","Administration","Akokan",1010202,1.0,7.0,1.0,18.48,6.7,365,400,400,"","","1*N_V110GE_2004_E",""
"Region","Distribution","DIFFA",1020000,1.0,7.0,1.0,13.31,12.62,"","","","","","2*N_4x4_truck+1*N_MF304_1999_E+2*N_MF314_2006_E+1*N_MF314_2008_E+1*N_TCW1152CF_2000_E+1*N_TCW1990_1998_E+1*N_V110GE_2006_E+1*N_V170GE_2006_E",""
"District","Distribution","Diffa",1020100,1.0,7.0,1.0,13.31,12.62,"","","","","","2*N_vaccine_carrier_WHO_PQS+2*N_MF314_2004_E+1*N_TFW791_1998_E+1*N_V170GE_U_E",""
"Integrated Health Center","Administration","Baroua",1020101,1.0,7.0,1.0,13.62,13.21,589,646,646,"","","1*N_CFS49ISI_U_S+1*N_V170GE_U_G",""
"Integrated Health Center","Administration","Bosso",1020102,1.0,7.0,1.0,13.7,13.3,589,646,646,"","","1*N_V110GE_2006_G+1*N_V170GE_U_G",""
"District","Distribution","Main? Soroa",1020200,1.0,7.0,1.0,13.22,12.06,"","","","","","2*N_vaccine_carrier_WHO_PQS+1*N_MF304_2004_E+1*N_MF314_2006_E+1*N_MF314_2008_E+1*N_RCW50EGCF_2008_E+1*N_S55_2001_E+1*N_TC883_2001_E+1*N_TFW791_2001_E+1*N_V170GE_2002_E",""
"Integrated Health Center","Administration","Kilakam",1020201,1.0,7.0,1.0,13.56,11.74,418,459,459,"","","1*N_RCW42EGCF_U_G+1*N_V170GE_2001_G",""
"Integrated Health Center","Administration","Foulatari",1020202,1.0,7.0,1.0,14.13,9.83,418,459,459,"","","1*N_RCW50DCCF_2003_S",""
"Region","Distribution","DOSSO",1030000,1.0,7.0,1.0,13.05,3.19,"","","","","","3*N_4x4_truck+1*N_MF304_2005_E+2*N_MF304_2008_E+1*N_MF314_2007_E+1*N_MF314_2008_E+1*N_RCW42EGCF_2007_E+2*N_S55_1988_E+1*N_V170GE_2007_E",""
"District","Distribution","Boboye",1030100,1.0,7.0,1.0,12.88,2.7,"","","","","","1*N_4x4_truck+3*N_LargeCarrier_U_I+1*N_MF304_2005_U+1*N_MF314_2002_E+1*N_RCW50EGCF_2004_U+1*N_RCW50EGCF_2008_E+3*N_RCW50EGCF_2008_G+1*N_V110GE_2005_E+1*N_V110GE_2006_E+1*N_V170GE_2007_E",""
"Integrated Health Center","Administration","Birni N'gaour?",1030101,1.0,7.0,1.0,13.08,2.91,724,795,795,"",1,"1*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Tinoma",1030102,1.0,7.0,1.0,13.22,2.88,724,795,795,"",1,"1*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Saboula",1030103,1.0,7.0,1.0,12.53,2.9,724,795,795,"",1,"1*N_LargeCarrier_U_I",""
"District","Distribution","Doutchi",1030200,1.0,7.0,1.0,13.64,4.03,"","","","","","2*N_vaccine_carrier_WHO_PQS+1*N_MF304_1997_E+4*N_MF314_2004_E+1*N_TCW1152CF_1998_E",""
"Integrated Health Center","Administration","DoutchiSud",1030201,1.0,7.0,1.0,13.39,3.9,1251,1373,1373,"","","1*N_V170GE_2006_E",""
"Integrated Health Center","Administration","Birni Lokoyo",1030202,1.0,7.0,1.0,13.8,4.04,1251,1373,1373,"","","1*N_V110GE_2005_G",""
"District","Distribution","Pittsburgh",1030300,1.0,7.0,1.0,40.4425,-79.9956,"","","","","","1*N_vaccine_carrier_WHO_PQS+1*N_vaccine_carrier_WHO_PQS_plus_ice+1*N_4x4_truck_ice+1*N_V110GE_2006_G+1*N_V170GE_U_G+1*N_TC883_1987_E+4*N_STDCARRIER_CHARGE",""
"Integrated Health Center","Administration","RegentSquare",1030301,1.0,7.0,1.0,40.4326,-79.8973,435,543,345,1,"","1*N_StdCarrier_U_I+1*N_STDCARRIER_CHARGE",""
"Integrated Health Center","Administration","Wilkinsburgh",1030302,1.0,7.0,1.0,40.4417,-79.8822,635,544,445,1,"","1*N_StdCarrier_U_I+1*N_STDCARRIER_CHARGE",""
"Integrated Health Center","Administration","PointBreeze",1030303,1.0,7.0,1.0,40.4437,-79.9048,835,583,845,2,"","2*N_StdCarrier_U_I+2*N_STDCARRIER_CHARGE+1*N_V170GE_2001_G",""
"Integrated Health Center","Administration","DahnTahn",1030304,1.0,7.0,1.0,40.4425,-79.9956,835,583,845,2,"","",""
"Integrated Health Center","Administration","StrangledTown",1030305,1.0,7.0,1.0,40.45,-80.0,835,583,845,"","","1*N_V110GE_2004_E",""
"Integrated Health Center","Administration","StrangledVille",1030306,1.0,7.0,1.0,40.451,-80.01,835,583,845,"","","1*N_vaccine_carrier_WHO_PQS+1*N_V110GE_2004_E",""
"District","Distribution","SanFrancisco",1030400,1.0,7.0,1.0,37.7821,-122.42,"","","","","","1*N_V110GE_2006_G+1*N_V170GE_U_G+1*N_TC883_1987_E+5*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Sunset",1030401,1.0,7.0,1.0,37.7472,-122.487,435,543,345,"",1,"1*N_vaccine_carrier_WHO_PQS+1*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Embarcadero",1030402,1.0,7.0,1.0,37.7976,-122.392,635,544,445,"",1,"1*N_LargeCarrier_U_I",""
"Integrated Health Center","Administration","Fillmore",1030403,1.0,7.0,1.0,37.7863,-122.439,835,583,845,"",1,"1*N_vaccine_carrier_WHO_PQS+1*N_LargeCarrier_U_I+1*N_V170GE_2001_G",""
"Integrated Health Center","Administration","Fisherman's_Warf",1030404,1.0,7.0,1.0,37.8067,-122.418,835,583,845,"",2,"1*N_vaccine_carrier_WHO_PQS+2*N_LargeCarrier_U_I",""
"Region","Distribution","Philadelphia",1040000,1.0,7.0,1.0,13.05,3.19,"","","","","","3*N_4x4_truck+1*N_MF304_2005_E+2*N_MF304_2008_E+1*N_MF314_2007_E+1*N_MF314_2008_E+1*N_RCW42EGCF_2007_E+2*N_S55_1988_E+1*N_V170GE_2007_E",""
"District","Distribution","Reading",1040100,1.0,7.2,3.0,40.3455,-75.9361,"","","","","","1*TT_motorcycle+3*N_LargeCarrier_U_I+1*N_V170GE_2001_G",""
"Integrated Health Center","Outreach","Reading_or1",1040101,1.0,7.2,3.0,40.4455,-75.9361,418,459,459,"",1,"",""
"Integrated Health Center","Outreach","Reading_or2",1040102,1.0,7.2,3.0,40.5455,-75.9361,418,459,459,"",1,"",""
"Integrated Health Center","Outreach","Reading_or3",1040103,1.0,7.2,3.0,40.6455,-75.9361,418,459,459,"",1,"",""
"District","Distribution","Harrisburg",1040200,1.0,7.2,3.0,40.2722,-76.8878,"","","","","","1*TT_motorcycle+3*N_LargeCarrier_U_I+1*N_V170GE_2001_G",""
"Integrated Health Center","Outreach","Harrisburg_or1",1040201,1.0,7.2,3.0,40.3722,-76.8878,418,459,459,"",1,"",""
