"Country Name","Currency Name","Currency Code","Notes","2009","2002","2003","2000","2006","2004","2005","2008","2007","2011","2010","2001","2012","2013","2014"
"Cote d'Ivoire","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Gibraltar","british pound","GBP","",0.64,0.67,0.61,"",0.54,0.55,0.55,0.54,0.5,0.62,0.65,"","","",""
"Congo  Rep.","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Myanmar","kyat","MMK ","",5.52,6.57,6.08,"",5.78,5.75,5.76,5.39,5.56,5.39,5.58,"","","",""
"Latvia","lati","LVL ","",0.51,0.62,0.57,"",0.56,0.54,0.56,0.48,0.51,0.5,0.53,"","","",""
"Croatia","kuna","HRK ","",5.28,7.87,6.7,"",5.84,6.03,5.95,4.94,5.36,5.34,5.5,"","","",""
"Austria","euro","EUR","http://www.oanda.com/currency/historical-rates/",0.7189,1.0603,0.9726,1.0843,0.7967,0.8047,0.8044,0.6833,0.7305,0.7189,0.7546,1.1163,0.778,0.7531,""
"Montenegro","euro","EUR","",0.72,1.06,0.89,"",0.8,0.81,0.8,0.68,0.73,0.72,0.76,"","","",""
"Syrian Arab Republic","syrian pound","SYP","",11.23,11.23,11.23,"",11.23,11.23,11.23,11.23,11.23,11.23,11.23,"","","",""
"Dominica","east caribbean dollar","XCD","",2.7,2.7,2.7,"",2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Denmark","danish kroner","DKK","",5.36,7.89,6.59,"",5.95,5.99,6.0,5.1,5.44,5.37,5.62,"","","",""
"Azerbaijan","azerbaijani manat","AZN ","",0.8,0.97,0.98,"",0.89,0.98,0.95,0.82,0.86,0.79,0.8,"","","",""
"Togo","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Ghana","cedi","GHS ","",1.41,0.79,0.87,"",0.92,0.9,0.91,1.06,0.94,1.51,1.43,"","","",""
"Turkey","turkish lira","TRY","",1.55,1.51,1.5,"",1.43,1.43,1.34,1.3,1.3,1.67,1.5,"","","",""
"Cape Verde","cape verde escudo","CVE ","",79.38,117.17,97.7,"",87.9,88.81,88.67,75.28,80.57,79.32,83.26,"","","",""
"Mexico","mexican peso","MXN ","",13.51,9.66,10.79,"",10.9,11.29,10.9,11.13,10.93,12.42,12.64,"","","",""
"St. Kitts and Nevis","east caribbean dollar","XCD","",2.7,2.7,2.7,"",2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"St. Lucia","east caribbean dollar","XCD","",2.7,2.7,2.7,"",2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Morocco","moroccan dirham","MAD ","",8.06,11.02,9.57,"",8.8,8.87,8.87,7.75,8.19,8.09,8.42,"","","",""
"United Kingdom","british pound","GBP","",0.64,0.67,0.61,"",0.54,0.55,0.55,0.54,0.5,0.62,0.65,"","","",""
"Brazil","real","BRL ","",2.0,2.92,3.08,"",2.18,2.93,2.43,1.83,1.95,1.67,1.76,"","","",""
"Grenada","east caribbean dollar","XCD","",2.7,2.7,2.7,"",2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Panama","us dollar","USD","1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Lebanon","lebanese pounds","LBP ","",1507.5,1507.5,1507.5,"",1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,"","","",""
"Samoa","tala","WST ","",2.73,3.38,2.97,"",2.78,2.78,2.71,2.64,2.62,2.32,2.48,"","","",""
"Namibia","namibian dollar","NAD ","",8.47,10.54,7.56,"",6.77,6.46,6.36,8.26,7.05,7.26,7.32,"","","",""
"Switzerland","swiss franc","CHE ","",1.09,1.56,1.35,"",1.25,1.24,1.25,1.08,1.2,0.89,1.04,9.1603,"","",""
"Peru","nuevo sol","PEN ","",3.01,3.52,3.48,"",3.27,3.41,3.3,2.92,3.13,2.75,2.83,"","","",""
"Malawi","malawian kwacha","MWK ","",141.17,76.69,97.43,"",136.01,108.9,118.42,140.52,139.96,155.78,150.49,"","","",""
"Nigeria","naira","NGN ","",148.9,120.58,129.22,"",128.65,132.89,131.27,118.55,125.81,153.9,150.3,"","","",""
"Guinea","guinean franc","GNF ","",4801.08,1975.84,1984.93,"",5148.75,2243.93,3644.33,4601.69,4197.75,6620.84,5726.07,"","","",""
"Singapore","singaporean dollar","SGD","",1.45,1.79,1.74,"",1.59,1.69,1.66,1.41,1.51,1.26,1.36,"","","",""
"Iceland","icelandic kroner","ISK ","",123.64,91.66,76.71,"",70.18,70.19,62.98,87.95,64.06,115.95,122.24,"","","",""
"Philippines","philippine peso","PHP ","",47.68,51.6,54.2,"",51.31,56.04,55.09,44.32,46.15,43.31,45.11,"","","",""
"Qatar","qatari rial","QAR ","",3.64,3.64,3.64,"",3.64,3.64,3.64,3.64,3.64,3.64,3.64,"","","",""
"United Arab Emirates","emirati dirham","AED ","",3.67,3.67,3.67,"",3.67,3.67,3.67,3.67,3.67,3.67,3.67,"","","",""
"Lao PDR","kip","LAK","",8516.05,1056.33,1569.04,"",1159.94,1585.38,1655.17,8744.22,9603.16,8058.4,8258.77,"","","",""
"Bahrain","bahraini dinar","BHD ","",0.38,0.38,0.38,"",0.38,0.38,0.38,0.38,0.38,0.38,0.38,"","","",""
"Argentina","argentine peso","ARS ","",3.71,3.06,2.9,"",3.05,2.92,2.9,3.14,3.1,4.11,3.9,"","","",""
"Gabon","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Tonga","pa'anga","TOP ","",2.03,2.2,2.15,"",2.03,1.97,1.94,1.94,1.97,1.73,1.91,"","","",""
"Estonia","kroon","EUR","",11.26,16.61,13.86,"",12.47,12.6,12.58,10.69,11.43,"","","","","",""
"Guinea-Bissau","communaute financiere africaine franc","XAF","",472.19,696.99,581.2,"",522.89,528.28,527.47,447.81,479.27,471.87,495.28,"","","",""
"Ecuador","us dollar","USDXXX","","",1.0,1.0,"",1.0,1.0,1.0,1.0,1.0,"","","","","",""
"Thailand","baht","THB","",34.29,42.96,41.48,"",37.88,40.22,40.22,33.31,34.52,30.49,31.69,"","","",""
"Bulgaria","leva","BGN ","",1.41,2.08,1.73,"",1.56,1.58,1.57,1.34,1.43,1.41,1.48,"","","",""
