"Category","DisplayName","BaseCostCur","chain","Make","ColdLifetime","ClassName","BaseCostYear","AlarmDays","freezer","SnoozeDays","Name","Notes","PowerRateUnits","BaseCost","NoPowerHoldoverDays","Model","Requires","PowerRate","cooler","roomtemperature","Year","Technology","Energy"
"RefrigeratorFreezer","Sibir V170GE (2006): Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170GE_2006_E","","kWh/day",7186.0,0.0,"V170GE","",5.3,55.0,0.0,"2006","","E"
"Refrigerator","Ignis S55 (1988): Electric","EUR","","Ignis","","ElectricFridge",2011,"",0.0,"","N_S55_1988_E","","kWh/day",1400.0,0.0,"S55","",12.0,378.0,0.0,"1988","","E"
"Refrigerator","Electrolux TC883 (2001): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",229.0,"","N_TC883_2001_E","","kWh/day",2100.0,0.0,"TC883","",3.0,0.0,0.0,"2001","","E"
"IceLinedRefrigerator","Vestfrost MF304 (1997): Electric","EUR","","Vestfrost","","ElectricFridge",2009,"",172.0,"","N_MF304_1997_E","","kWh/day",744.0,0.0,"MF304","",3.2,0.0,0.0,"1997","","E"
"RefrigeratorFreezer","Sibir V170GE (2007): Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170GE_2007_E","","kWh/day",7186.0,0.0,"V170GE","",5.3,55.0,0.0,"2007","","E"
"Freezer","Electrolux TFW800 (2005): Electric","EUR","","Electrolux","","ElectricFridge",2012,"",144.0,"","N_TFW800_2005_E","","kWh/day",2284.0,0.0,"TFW800","",3.35,0.0,0.0,"2005","","E"
"RefrigeratorFreezer","Electrolux RCW50EG/CF (2007): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",0.0,"","N_RCW50EGCF_2007_E","","kWh/day",1234.0,0.0,"RCW50EG/CF","",3.5,24.0,0.0,"2007","","E"
"IceLinedRefrigerator","Vestfrost MF304 (2005): Electric","EUR","","Vestfrost","","ElectricFridge",2009,"",172.0,"","N_MF304_2005_E","","kWh/day",744.0,0.0,"MF304","",3.2,0.0,0.0,"2005","","E"
"IceLinedRefrigeratorFreezer","Electrolux TCW1990 (2004): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",11.0,"","N_TCW1990_2004_E","","kWh/day",1177.0,0.0,"TCW1990","",2.0,60.0,0.0,"2004","","E"
"RefrigeratorFreezer","Sibir V170GE (2004): Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170GE_2004_E","","kWh/day",7186.0,0.0,"V170GE","",5.3,55.0,0.0,"2004","","E"
"IceLinedRefrigeratorFreezer","Electrolux TCW1990 (1998): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",11.0,"","N_TCW1990_1998_E","","kWh/day",1177.0,0.0,"TCW1990","",2.0,60.0,0.0,"1998","","E"
"Freezer","Electrolux TFW791 (1998): Electric","EUR","","Electrolux","","ElectricFridge",2012,"",50.0,"","N_TFW791_1998_E","","kWh/day",1500.0,0.0,"TFW791","",2.5,0.0,0.0,"1998","","E"
"RefrigeratorFreezer","Sibir V110GE (2005): Propane","SEK","","Sibir","","Fridge",2000,"",0.0,"","N_V110GE_2005_G","","Kg/day",6350.0,0.0,"V110GE","",0.26,17.0,0.0,"2005","","G"
"RefrigeratorFreezer","Sibir V170GE (2005): Electric","SEK","","Sibir","","ElectricFridge",2000,"",36.0,"","N_V170GE_2005_E","","kWh/day",7186.0,0.0,"V170GE","",5.3,55.0,0.0,"2005","","E"
"IceLinedRefrigerator","Electrolux TCW1152/CF (1998): Electric","EUR","","Electrolux","","ElectricFridge",2000,"",0.0,"","N_TCW1152CF_1998_E","","kWh/day",1598.0,0.0,"TCW1152/CF","",4.09,169.0,0.0,"1998","","E"
"ColdBox","generic StdColdBox (U): Ice","USD","","generic",40.0,"AlarmedIceFridge",2000,30.0,0.0,1.0,"N_StdCarrier_U_I","made up by Joel","liters/charge",1000.0,0.0,"StdColdBox","",160.0,40.0,0.0,"U","","I"
"ColdBox","generic ColdBoxLarge (U): Ice","EUR","","generic","","Fridge",2010,"",52.65,"","N_GenericIceBoxLarge_U_I","47x36x25.5 cc at 100% utilization","liters/charge",600.0,0.0,"ColdBoxLarge","",14.5,0.0,0.0,"U","","I"
