Name,Currency,PerKm,PerYear,PerTrip,PerTreatmentDay,PerDiem,PerVial,Level,Conditions,Notes
M_bus,USD,0,,0.33,,0,,,,
M_Walk,USD,0,,0,,0,,,,
M_bicycle,USD,0,,0,,0,,,,
M_Hilux_Gaza,USD,0.44,,0,,0,,,,
M_truck_Bilene,USD,0.44,,0,,68.37,,,,
M_bike_Bilene,USD,0,,0,,0,,,,
M_moto_Bilene,USD,0.14,,0,,37.29,,,,
M_bus_Bilene,USD,0,,0.33,,0,,,,
M_truck_Chibuto,USD,0.44,,0,,68.37,,,,
M_moto_Chibuto,USD,0.14,,0,,37.29,,,,
M_bike_Chibuto,USD,0,,0,,0,,,,
M_bus_Chibuto,USD,0,,0.33,,0,,,,
M_moto_Chic,USD,0.14,,0,,37.29,,,,
M_bike_Chic,USD,0,,0,,0,,,,
M_truck_Chic,USD,0.44,,0,,68.37,,,,
M_moto_Chigubo,USD,0.14,,0,,37.29,,,,
M_truck_Chigubo,USD,0.44,,0,,0,,,,
M_bus_Chokwe,USD,0,,0.33,,0,,,,
M_moto_Chokwe,USD,0.14,,0,,37.29,,,,
M_truck_Chokwe,USD,0.44,,0,,68.37,,,,
M_bike_Chokwe,USD,0,,0,,0,,,,
M_truck_Guija,USD,0.44,,0,,0,,,,
M_moto_Guija,USD,0.14,,0,,37.29,,,,
M_bike_Guija,USD,0,,0,,0,,,,
M_truck_Mabalane,USD,0.44,,0,,68.37,,,,
M_moto_Mabalane,USD,0.14,,0,,37.29,,,,
M_bike_Mabalane,USD,0,,0,,0,,,,
M_bike_Manjacaze,USD,0,,0,,0,,,,
M_moto_Manjacaze,USD,0.14,,0,,37.29,,,,
M_truck_Manjacaze,USD,0.44,,0,,68.37,,,,
M_truck_Massengena,USD,0.44,,0,,0,,,,
M_moto_Massengena,USD,0.14,,0,,37.29,,,,
M_moto_Massingir,USD,0.14,,0,,37.29,,,,
M_truck_Massingir,USD,0.44,,0,,68.37,,,,
M_bike_Massingir,USD,0,,0,,0,,,,
M_bus_Massingir,USD,0,,0.33,,0,,,,
