RouteName,idcode,LocName,CATEGORY,Type,RouteOrder,TransitHours,TruckType,ShipIntervalDays,ShipLatencyDays,PullOrderAmountDays,Notes,Conditions,DistanceKM,,
B,100000,Maputo National Store,National,demandfetch,1,3,M_Hilux_Gaza,1,1,60,,,216,,
B,120000,Gaza,Province,demandfetch,0,3,M_Hilux_Gaza,1,1,60,,,216,,
C,100000,Maputo National Store,,attached,0,,,,,,,,,,
C,130000,Other Province Stores,Province,attached,1,,,,,,,,,,
r120100,120000,Gaza,Province,pull,0,2,M_Hilux_Gaza,1,3,20,,,60,,
r120100,120100,Bilene,District,pull,1,2,M_Hilux_Gaza,1,3,20,,,60,miles,hours
r120101,120100,Bilene,District,pull,0,0.5,M_truck_Bilene,1,4,20,,,31,19.375,0.322916667
r120101,120101,C.S.Chissano,Health Center,pull,1,0.5,M_truck_Bilene,1,4,20,,,31,19.375,0.322916667
r120102,120100,Bilene,District,pull,0,0.5,M_truck_Bilene,1,5,20,,,45,28.125,0.46875
r120102,120102,C.S.Licilo,Health Center,pull,1,0.5,M_truck_Bilene,1,5,20,,,45,28.125,0.46875
r120103,120100,Bilene,District,demandfetch,1,1,M_bike_Bilene,1,4,20,,,12,7.5,0.535714286
r120103,120103,C.S.Mangol,Health Center,demandfetch,0,1,M_bike_Bilene,1,4,20,,,12,7.5,0.535714286
r120104,120100,Bilene,District,demandfetch,1,1,M_bike_Bilene,1,5,20,,,18,11.25,0.803571429
r120104,120104,C.S.Mazivila,Health Center,demandfetch,0,1,M_bike_Bilene,1,5,20,,,18,11.25,0.803571429
r120105,120100,Bilene,District,pull,0,0.5,M_truck_Bilene,1,6,20,,,47,29.375,0.489583333
r120105,120105,C.S.Messano,Health Center,pull,1,0.5,M_truck_Bilene,1,6,20,,,47,29.375,0.489583333
r120106,120100,Bilene,District,pull,0,0.5,M_moto_Bilene,1,4,20,,,30,18.75,0.3125
r120106,120106,C.S.Momonha,Health Center,pull,1,0.5,M_moto_Bilene,1,4,20,,,30,18.75,0.3125
r120107,120100,Bilene,District,pull,0,0.5,M_moto_Bilene,1,5,20,,,32,20,0.333333333
r120107,120107,C.S.Olombe,Health Center,pull,1,0.5,M_moto_Bilene,1,5,20,,,32,20,0.333333333
r120108,120100,Bilene,District,attached,0,,,,,,,,,,
r120108,120108,C.S. Bilene Sede,Health Center,attached,1,,,,,,,,,,
r120109,120100,Bilene,District,demandfetch,1,0.5,M_bus_Bilene,1,5,20,,,25,15.625,0.260416667
r120109,120109,C.S.Tuane,Health Center,demandfetch,0,0.5,M_bus_Bilene,1,5,20,,,25,15.625,0.260416667
r120200,120000,Gaza,Province,pull,0,2,M_Hilux_Gaza,1,4,20,,,74,,
r120200,120200,Chibuto,District,pull,1,2,M_Hilux_Gaza,1,4,20,,,74,,
r120201,120200,Chibuto,District,pull,0,0.5,M_truck_Chibuto,1,5,20,,,25,15.625,0.260416667
r120201,120201,C.S. Chaimite,Health Center,pull,1,0.5,M_truck_Chibuto,1,5,20,,,25,15.625,0.260416667
r120202,120200,Chibuto,District,pull,0,2,M_moto_Chibuto,1,5,20,,,97,60.625,1.010416667
r120202,120202,C.S. Changanine,Health Center,pull,1,2,M_moto_Chibuto,1,5,20,,,97,60.625,1.010416667
r120203,120200,Chibuto,District,demandfetch,1,1.5,M_Walk,1,5,20,,,5,3.125,1.25
r120203,120203,C.S. Chimundo,Health Center,demandfetch,0,1.5,M_Walk,1,5,20,,,5,3.125,1.25
r120204,120200,Chibuto,District,demandfetch,1,1.5,M_bike_Chibuto,1,5,20,,,32,20,1.428571429
r120204,120204,C.S. Chipadja,Health Center,demandfetch,0,1.5,M_bike_Chibuto,1,5,20,,,32,20,1.428571429
r120205,120200,Chibuto,District,demandfetch,1,0.5,M_Walk,1,5,20,,,0.8,0.5,0.2
r120205,120205,C.S. Cidade de Chibuto,Health Center,demandfetch,0,0.5,M_Walk,1,5,20,,,0.8,0.5,0.2
r120206,120200,Chibuto,District,demandfetch,1,0.5,M_bus_Chibuto,1,5,20,,,25,15.625,0.260416667
r120206,120206,C.S. Meboi,Health Center,demandfetch,0,0.5,M_bus_Chibuto,1,5,20,,,25,15.625,0.260416667
r120207,120200,Chibuto,District,demandfetch,1,0.5,M_bus_Chibuto,1,6,20,,,25,15.625,0.260416667
r120207,120207,C.S. Nwavaquene,Health Center,demandfetch,0,0.5,M_bus_Chibuto,1,6,20,,,25,15.625,0.260416667
r120208,120200,Chibuto,District,pull,0,1,M_truck_Chibuto,1,6,20,,,34,,
r120208,120208,C.S. Vila do Milénio,Health Center,pull,1,1,M_truck_Chibuto,1,6,20,,,34,,
r120209,120200,Chibuto,District,pull,0,1,M_moto_Chibuto,1,6,20,,,53,33.125,0.552083333
r120209,120209,C.S.Alto Changane,Health Center,pull,1,1,M_moto_Chibuto,1,6,20,,,53,33.125,0.552083333
r120210,120200,Chibuto,District,pull,0,0.5,M_moto_Chibuto,1,7,20,,,36,22.5,0.375
r120210,120210,C.S.Maivene,Health Center,pull,1,0.5,M_moto_Chibuto,1,7,20,,,36,22.5,0.375
r120211,120200,Chibuto,District,pull,0,0.5,M_truck_Chibuto,1,7,20,,,20,12.5,0.208333333
r120211,120211,C.S.Malehice,Health Center,pull,1,0.5,M_truck_Chibuto,1,7,20,,,20,12.5,0.208333333
r120212,120200,Chibuto,District,pull,0,1,M_moto_Chibuto,1,8,20,,,60,37.5,0.625
r120212,120212,C.S.Maqueze,Health Center,pull,1,1,M_moto_Chibuto,1,8,20,,,60,37.5,0.625
r120213,120200,Chibuto,District,demandfetch,1,0.5,M_bus_Chibuto,1,7,20,,,30,18.75,0.3125
r120213,120213,C.S.Muxaxane,Health Center,demandfetch,0,0.5,M_bus_Chibuto,1,7,20,,,30,18.75,0.3125
r120300,120000,Gaza,Province,pull,0,9,M_Hilux_Gaza,1,7,20,,,454,0,0
r120300,120300,Chicualacuala,District,pull,1,9,M_Hilux_Gaza,1,7,20,,,454,0,0
r120301,120300,Chicualacuala,District,pull,0,2.5,M_moto_Chic,1,6,20,,,200,125,2.083333333
r120301,120301,C.S.Chidulo,Health Center,pull,1,2.5,M_moto_Chic,1,6,20,,,200,125,2.083333333
r120302,120300,Chicualacuala,District,demandfetch,1,0.5,M_bike_Chic,1,6,20,,,17,10.625,0.177083333
r120302,120302,C.S.Lithatha,Health Center,demandfetch,0,0.5,M_bike_Chic,1,6,20,,,17,10.625,0.177083333
r120303,120300,Chicualacuala,District,pull,0,1,M_truck_Chic,1,6,20,,,64,40,0.666666667
r120303,120303,C.S.Mahathane,Health Center,pull,1,1,M_truck_Chic,1,6,20,,,64,40,0.666666667
r120304,120300,Chicualacuala,District,pull,0,1.5,M_truck_Chic,1,7,20,,,101,63.125,1.052083333
r120304,120304,C.S.Mapai Ngala,Health Center,pull,1,1.5,M_truck_Chic,1,7,20,,,101,63.125,1.052083333
r120305,120300,Chicualacuala,District,pull,0,1,M_truck_Chic,1,8,20,,,84,52.5,0.875
r120305,120305,C.S.Mapai -Sede,Health Center,pull,1,1,M_truck_Chic,1,8,20,,,84,52.5,0.875
r120306,120300,Chicualacuala,District,pull,0,1.5,M_moto_Chic,1,7,20,,,130,81.25,1.354166667
