Name,Display Name,CoolVolumeCC,Storage,Notes
M_Land_Cruiser_Gaza,M_Land_Cruiser_Gaza,0,7*M_CB,
M_Motorbike,M_Motorbike,0,2*M_VC,
M_bus,M_bus,0,2*M_VC,
M_Walk,M_Walk,0,2*M_VC,
M_bicycle,M_bicycle,0,2*M_VC,
M_Hilux_Gaza,M_Hilux_Gaza,0,7*M_CB,
M_truck_Bilene,M_truck_Bilene,0,7*M_CB,
M_bike_Bilene,M_bike_Bilene,0,2*M_VC,
M_moto_Bilene,M_moto_Bilene,0,2*M_VC,
M_bus_Bilene,M_bus_Bilene,0,2*M_VC,
M_truck_Chibuto,M_truck_Chibuto,0,7*M_CB,
M_moto_Chibuto,M_moto_Chibuto,0,2*M_VC,
M_bike_Chibuto,M_bike_Chibuto,0,2*M_VC,
M_bus_Chibuto,M_bus_Chibuto,0,2*M_VC,
M_moto_Chic,M_moto_Chic,0,2*M_VC,
M_bike_Chic,M_bike_Chic,0,2*M_VC,
M_truck_Chic,M_truck_Chic,0,7*M_CB,
M_moto_Chigubo,M_moto_Chigubo,0,2*M_VC,
M_truck_Chigubo,M_truck_Chigubo,0,7*M_CB,
M_bus_Chokwe,M_bus_Chokwe,0,2*M_VC,
M_moto_Chokwe,M_moto_Chokwe,0,2*M_VC,
M_truck_Chokwe,M_truck_Chokwe,0,7*M_CB,
M_bike_Chokwe,M_bike_Chokwe,0,2*M_VC,
M_truck_Guija,M_truck_Guija,0,7*M_CB,
M_moto_Guija,M_moto_Guija,0,2*M_VC,
M_bike_Guija,M_bike_Guija,0,2*M_VC,
M_truck_Mabalane,M_truck_Mabalane,0,7*M_CB,
M_moto_Mabalane,M_moto_Mabalane,0,2*M_VC,
M_bike_Mabalane,M_bike_Mabalane,0,2*M_VC,
M_bike_Manjacaze,M_bike_Manjacaze,0,2*M_VC,
M_moto_Manjacaze,M_moto_Manjacaze,0,2*M_VC,
M_truck_Manjacaze,M_truck_Manjacaze,0,7*M_CB,
M_truck_Massengena,M_truck_Massengena,0,7*M_CB,
M_moto_Massengena,M_moto_Massengena,0,2*M_VC,
M_moto_Massingir,M_moto_Massingir,0,2*M_VC,
M_truck_Massingir,M_truck_Massingir,0,7*M_CB,
M_bike_Massingir,M_bike_Massingir,0,2*M_VC,
M_bus_Massingir,M_bus_Massingir,0,2*M_VC,
M_moto_XaiXai,M_moto_XaiXai,0,2*M_VC,
M_bus_XaiXai,M_bus_XaiXai,0,2*M_VC,
M_truck_XaiXai,M_truck_XaiXai,0,7*M_CB,
