location ID,district,block,gram panchayat,village,display name,latitude,longitude,notes: re location,supply chain level,function,sector,fixed/mobile,operating schedule,hectares under cultivation for potatoes,total population in village
1070001,Cuttack,Athagarh,0,0,Potato farms in Athagarh tehsil,20.5165688,85.6205534,????,Farm,Production,Private,Fixed,0,98,
1070002,Cuttack,Badamba,0,0,Potato farms in Badamba tehsil,20.419374,85.3391281,0,Farm,Production,Private,Fixed,0,44,
1070003,Cuttack,Banki,0,0,Potato farms in Banki tehsil,20.3778056,85.5241333,0,Farm,Production,Private,Fixed,0,11,
1070004,Cuttack,Barang,0,0,Potato farms in Barang tehsil,20.4005671,85.8386277,0,Farm,Production,Private,Fixed,0,32,
1070005,Cuttack,Cuttack Sadar,0,0,Potato farms in Cuttack Sadar tehsil,20.463178,85.8025072,0,Farm,Production,Private,Fixed,0,239,
1070006,Cuttack,Dampada,0,0,Potato farms in Dampada tehsil,20.390944,85.616841,Dompada (alternate spelling),Farm,Production,Private,Fixed,0,65,
1070007,Cuttack,Kantapada,0,0,Potato farms in Kantapada tehsil,20.2507349,85.9736186,????,Farm,Production,Private,Fixed,0,92,
1070008,Cuttack,Mahanga,0,0,Potato farms in Mahanga tehsil,20.553542,86.177144,0,Farm,Production,Private,Fixed,0,54,
1070009,Cuttack,Narasinghpur,0,0,Potato farms in Narasinghpur tehsil,20.4624592,85.0659798,0,Farm,Production,Private,Fixed,0,154,
1070010,Cuttack,Niali,0,0,Potato farms in Niali tehsil,20.1396178,86.0496211,0,Farm,Production,Private,Fixed,0,81,
1070011,Cuttack,Nischintakoili,0,0,Potato farms in Nischintakoili tehsil,20.479964,86.1826533,0,Farm,Production,Private,Fixed,0,103,
1070012,Cuttack,Salipur,0,0,Potato farms in Salipur tehsil,20.4859392,86.0954604,0,Farm,Production,Private,Fixed,0,153,
1070013,Cuttack,Tangi-Choudwar,0,0,Potato farms in Tangi-Choudwar tehsil,20.5608007,85.9904945,0,Farm,Production,Private,Fixed,0,100,
1070014,Cuttack,Tigiria,0,0,Potato farms in Tigiria tehsil,20.4694154,85.5115834,0,Farm,Production,Private,Fixed,0,51,
1150001,Khurda,Balianta,0,0,Potato farms in Balianta tehsil,20.3068913,85.8826348,0,Farm,Production,Private,Fixed,0,14,
1150002,Khurda,Balipatana,0,0,Potato farms in Balipatana tehsil,20.2019765,85.9513664,0,Farm,Production,Private,Fixed,0,21,
1150003,Khurda,Banapur,0,0,Potato farms in Banapur tehsil,19.77496,85.1473472,0,Farm,Production,Private,Fixed,0,0,
1150004,Khurda,Begunia,0,0,Potato farms in Begunia tehsil,19.83368,85.3244626,0,Farm,Production,Private,Fixed,0,0,
1150005,Khurda,Bhubaneswar,0,0,Potato farms in Bhubaneswar tehsil,20.3010311,85.750413,0,Farm,Production,Private,Fixed,0,23,
1150006,Khurda,Bolagarh,0,0,Potato farms in Bolagarh tehsil,20.1747906,85.2665969,0,Farm,Production,Private,Fixed,0,0,
1150007,Khurda,Chilika,0,0,Potato farms in Chilika tehsil,19.874611,85.480243,This is in a lake! Chilika tehsil is named after the lake in that tehsil,Farm,Production,Private,Fixed,0,0,
1150008,Khurda,Jatani,0,0,Potato farms in Jatani tehsil,20.1612971,85.6782954,0,Farm,Production,Private,Fixed,0,0,
1150009,Khurda,Khurda,0,0,Potato farms in Khurda tehsil,20.1796469,85.6243513,0,Farm,Production,Private,Fixed,0,3,
1150010,Khurda,Tangi,0,0,Potato farms in Tangi tehsil,19.925275,85.3838936,0,Farm,Production,Private,Fixed,0,0,
3070001,Cuttack,Athagad,Gobara,Gobara,"Weekly Market, Gobara",20.5993698,85.8204646,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4028
3070002,Cuttack,Athagad,Khuntuni,Khuntuni,"Weekly Market, Khuntuni",20.5658083,85.7243546,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1609
3070003,Cuttack,Athagad,Khuntuni,Rampei,"Weekly Market, Rampei",20.5554958,85.7282023,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,3517
