RouteName,idcode,LocName,Type,RouteOrder,TransitHours,TruckType,ShipIntervalDays,ShipLatencyDays,PullOrderAmountDays,DistanceKM,Conditions,Notes,PickupDelayMagnitude,PickupDelaySigma, PickupDelayFrequency,PerDiemType
r_1150010_3150114,1150010,Potato farms in Tangi tehsil,SchedPush,0,0.4388888888888889,NA,7,NA,NA,25.198,NA,NA,NA,NA,NA,NA
r_1150010_3150114,3150114,Raulahaja Market,SchedPush,1,0.4388888888888889,NA,7,NA,NA,25.198,NA,NA,NA,NA,NA,NA
r_1070007_3150008,1070007,Potato farms in Kantapada tehsil,SchedPush,0,0.23666666666666666,NA,7,NA,NA,10.658,NA,NA,NA,NA,NA,NA
r_1070007_3150008,3150008,Jayarsasan Market,SchedPush,1,0.23666666666666666,NA,7,NA,NA,10.658,NA,NA,NA,NA,NA,NA
r_1150001_3150001,1150001,Potato farms in Balianta tehsil,SchedPush,0,0.23222222222222222,NA,7,NA,NA,5.966,NA,NA,NA,NA,NA,NA
r_1150001_3150001,3150001,Bhainchua Market,SchedPush,1,0.23222222222222222,NA,7,NA,NA,5.966,NA,NA,NA,NA,NA,NA
r_1150001_3150002,1150001,Potato farms in Balianta tehsil,SchedPush,0,0.23416666666666666,NA,7,NA,NA,6.027,NA,NA,NA,NA,NA,NA
r_1150001_3150002,3150002,Bhelurihat Market,SchedPush,1,0.23416666666666666,NA,7,NA,NA,6.027,NA,NA,NA,NA,NA,NA
r_1070013_3070001,1070013,Potato farms in Tangi-Choudwar tehsil,SchedPush,0,0.8202777777777778,NA,7,NA,NA,26.830000000000002,NA,NA,NA,NA,NA,NA
r_1070013_3070001,3070001,Gobara Market,SchedPush,1,0.8202777777777778,NA,7,NA,NA,26.830000000000002,NA,NA,NA,NA,NA,NA
r_1070001_3070002,1070001,Potato farms in Athagarh tehsil,SchedPush,0,0.3466666666666667,NA,7,NA,NA,13.452,NA,NA,NA,NA,NA,NA
r_1070001_3070002,3070002,Khuntuni Market,SchedPush,1,0.3466666666666667,NA,7,NA,NA,13.452,NA,NA,NA,NA,NA,NA
r_1070001_3070006,1070001,Potato farms in Athagarh tehsil,SchedPush,0,0.4175,NA,7,NA,NA,16.447,NA,NA,NA,NA,NA,NA
r_1070001_3070006,3070006,Radhadamodarpur Market,SchedPush,1,0.4175,NA,7,NA,NA,16.447,NA,NA,NA,NA,NA,NA
r_1070002_3070010,1070002,Potato farms in Badamba tehsil,SchedPush,0,0.20027777777777778,NA,7,NA,NA,5.7490000000000006,NA,NA,NA,NA,NA,NA
r_1070002_3070010,3070010,Ragadipada Market,SchedPush,1,0.20027777777777778,NA,7,NA,NA,5.7490000000000006,NA,NA,NA,NA,NA,NA
r_1070002_3070011,1070002,Potato farms in Badamba tehsil,SchedPush,0,0.25805555555555554,NA,7,NA,NA,10.57,NA,NA,NA,NA,NA,NA
