CATEGORY,FUNCTION,NAME,idcode,Device Utilization Rate,UseVialsLatency,UseVialsInterval,Latitude,Longitude,PowerOutageFrequencyPerYear,PowerOutageDurationSigma,SiteCostCur,PowerOutageDurationDays,SiteCostPerYear,SiteCostBaseYear,Inventory,Notes
Farm,Production,Potato farms in Athagarh tehsil,1070001,1.0,0.0,7.0,20.5165688,85.6205534,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,????
Farm,Production,Potato farms in Badamba tehsil,1070002,1.0,0.0,7.0,20.419374,85.3391281,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Banki tehsil,1070003,1.0,0.0,7.0,20.3778056,85.5241333,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Barang tehsil,1070004,1.0,0.0,7.0,20.4005671,85.8386277,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Cuttack Sadar tehsil,1070005,1.0,0.0,7.0,20.463178,85.8025072,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Dampada tehsil,1070006,1.0,0.0,7.0,20.390944,85.616841,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,Dompada (alternate spelling)
Farm,Production,Potato farms in Kantapada tehsil,1070007,1.0,0.0,7.0,20.2507349,85.9736186,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,????
Farm,Production,Potato farms in Mahanga tehsil,1070008,1.0,0.0,7.0,20.553542,86.177144,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Narasinghpur tehsil,1070009,1.0,0.0,7.0,20.4624592,85.0659798,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Niali tehsil,1070010,1.0,0.0,7.0,20.1396178,86.0496211,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Nischintakoili tehsil,1070011,1.0,0.0,7.0,20.479964,86.1826533,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Salipur tehsil,1070012,1.0,0.0,7.0,20.4859392,86.0954604,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Tangi-Choudwar tehsil,1070013,1.0,0.0,7.0,20.5608007,85.9904945,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Tigiria tehsil,1070014,1.0,0.0,7.0,20.4694154,85.5115834,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Balianta tehsil,1150001,1.0,0.0,7.0,20.3068913,85.8826348,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Balipatana tehsil,1150002,1.0,0.0,7.0,20.2019765,85.9513664,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Banapur tehsil,1150003,1.0,0.0,7.0,19.77496,85.1473472,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Begunia tehsil,1150004,1.0,0.0,7.0,19.83368,85.3244626,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Bhubaneswar tehsil,1150005,1.0,0.0,7.0,20.3010311,85.750413,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Bolagarh tehsil,1150006,1.0,0.0,7.0,20.1747906,85.2665969,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Chilika tehsil,1150007,1.0,0.0,7.0,19.874611,85.480243,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,This is in a lake! Chilika tehsil is named after the lake in that tehsil
Farm,Production,Potato farms in Jatani tehsil,1150008,1.0,0.0,7.0,20.1612971,85.6782954,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Khurda tehsil,1150009,1.0,0.0,7.0,20.1796469,85.6243513,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Farm,Production,Potato farms in Tangi tehsil,1150010,1.0,0.0,7.0,19.925275,85.3838936,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gobara Market,3070001,1.0,0.0,7.0,20.5993698,85.8204646,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Khuntuni Market,3070002,1.0,0.0,7.0,20.5658083,85.7243546,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Rampei Market,3070003,1.0,0.0,7.0,20.5554958,85.7282023,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Radhakrushnapur Market,3070004,1.0,0.0,7.0,20.597879,85.7589743,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Madhabpur Market,3070005,1.0,0.0,7.0,20.5058361,85.7038284,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Radhadamodarpur Market,3070006,1.0,0.0,7.0,20.5619454,85.748719,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gopapur Market,3070007,1.0,0.0,7.0,20.4084206,85.3013202,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gopinathapur Market,3070008,1.0,0.0,7.0,20.3836717,85.3723973,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Maniabandha Market,3070009,1.0,0.0,7.0,20.4410419,85.4349783,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Ragadipada Market,3070010,1.0,0.0,7.0,20.4174978,85.3872426,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Ratapat Market,3070011,1.0,0.0,7.0,20.4181122,85.2437841,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nuataila Market,3070012,1.0,0.0,7.0,20.4337418,85.3833703,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Anuary Market,3070013,1.0,0.0,7.0,20.3446175,85.4414258,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pathuripada Market,3070014,1.0,0.0,7.0,20.3274787,85.4378848,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Baunsput Market,3070015,1.0,0.0,7.0,20.46546,85.501663,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Nandahatapalli Market,3070016,1.0,0.0,7.0,20.3105123,85.3872426,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kadalibadi Market,3070017,1.0,0.0,7.0,20.4841114,85.6075064,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kalapathar Market,3070018,1.0,0.0,7.0,20.2895077,85.3794977,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kantakai Market,3070019,1.0,0.0,7.0,20.3275665,85.414341,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kantakaipatana Market,3070020,1.0,0.0,7.0,20.3270854,85.4101481,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Kendupalli Market,3070021,1.0,0.0,7.0,20.3248947,85.3691695,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gahiragadia Market,3070022,1.0,0.0,7.0,20.462562,85.882836,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pandalam Market,3070023,1.0,0.0,7.0,20.2704563,85.4465833,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Panigrahipurpatana Market,3070024,1.0,0.0,7.0,20.2719243,85.4030516,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Banara Market,3070025,1.0,0.0,7.0,20.4163161,85.751283,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Gadajit Market,3070026,1.0,0.0,7.0,20.3604118,85.6537627,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Durgapur Market,3070027,1.0,0.0,7.0,20.359688,85.5071469,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Naraganga Market,3070028,1.0,0.0,7.0,20.3093105,85.5094841,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Pathapur Market,3070029,1.0,0.0,7.0,20.4378307,85.6588999,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Harirajpur Market,3070030,1.0,0.0,7.0,20.3894007,85.5650695,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Tala Basta Market,3070031,1.0,0.0,7.0,20.3173879,85.5972218,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Tulasipur Market,3070032,1.0,0.0,7.0,20.306585,85.522599,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
Trader,Distribution,Naranapur Market,3070033,1.0,0.0,7.0,20.4337022,85.8563007,0.0,0.0,INR,0.0,0.0,2016,Std_SingleCabTruck,
