From,To,Seconds,Meters
1070002,3150009,8901,108906
1070002,3070129,7188,83336
1070002,3070130,7482,87608
1070002,3070001,6946,78356
1070002,3070002,4328,48014
1070002,3070003,4408,48672
1070002,3070004,-1,-1
1070002,3070005,3966,43768
1070002,3070006,4583,51009
1070002,3070007,383,4125
1070002,3070008,739,6239
1070002,3070009,1045,10894
1070002,3070010,721,5749
1070002,3070011,929,10570
1070002,3070012,676,6094
1070002,3070013,5587,60101
1070002,3070014,6636,68051
1070002,3070015,1831,19545
1070002,3070016,6553,69343
1070002,3070017,3836,40504
1070002,3070018,5715,62727
1070002,3070019,6764,69211
1070002,3070020,6749,69106
1070002,3070021,6331,68164
1070002,3070022,6819,78943
1070002,3070023,6521,70063
1070002,3070024,6102,66138
1070002,3070025,4652,56545
1070002,3070026,7976,90455
1070002,3070027,4709,51505
1070002,3070028,5068,55896
1070002,3070029,3952,46389
1070002,3070030,3877,43983
1070002,3070031,4865,52705
1070002,3070032,5085,56057
1070002,3070033,5812,69855
1070002,3070034,7743,90966
1070002,3070035,7737,87876
1070002,3070036,5782,68930
1070002,3070037,7220,87524
1070002,3070038,7433,90415
1070002,3070039,5244,60827
1070002,3070040,4898,54119
1070002,3070041,5343,58011
1070002,3070042,8165,95226
1070002,3070043,7845,92095
1070002,3070044,9032,102269
1070002,3070045,8598,102050
1070002,3070046,8844,104995
1070002,3070047,8419,101922
1070002,3070048,8932,106147
1070002,3070049,8062,98989
1070002,3070050,8622,103796
1070002,3070051,7793,93605
1070002,3070052,8019,96645
1070002,3070053,7687,94484
1070002,3070054,7702,93225
1070002,3070055,8401,102313
1070002,3070056,8911,106250
1070002,3070057,8587,96530
1070002,3070058,8672,97357
1070002,3070059,8716,97781
1070002,3070060,5579,64131
1070002,3070061,7854,96776
1070002,3070062,8333,96425
1070002,3070063,9195,108265
1070002,3070064,9151,108060
1070002,3070065,10716,132530
1070002,3070066,10559,117263
1070002,3070067,10505,130946
1070002,3070068,8932,103728
1070002,3070069,8526,99842
1070002,3070070,7197,86043
1070002,3070071,9381,107618
1070002,3070072,9817,111732
1070002,3070073,10585,117468
1070002,3070074,2128,23740
1070002,3070075,4174,45556
1070002,3070076,4101,44653
