Make,Model,DisplayName,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes,
mothernature,outdoors,outdoors,U,U,,,1000000000,OUTDOORS,Fridge,,,,,
Electrolux,RCW 42 EG/CF,RCW 42 EG/CF,YearUnk,GE,0,10.5,,Std_RCW42EGCF_GE,Fridge,,,,,
Electrolux,RCW 42 EK/CF,RCW 42 EK/CF,YearUnk,KE,1.2,18.2,,Std_RCW42EKCF_KE,ElectricFridge,,,,,
Electrolux,TCW 1152/CF,TCW 1152/CF,YearUnk,E,0,169,,Std_TCW1152CF_E,ElectricFridge,,,,,
Electrolux,RCW 42AC/CF,RCW 42AC/CF,YearUnk,E,12,12,,Std_RCW42ACCF_E,ElectricFridge,,,,,
Electrolux,RCW 42DC/CF,RCW 42DC/CF,YearUnk,S,14,14,,Std_RCW42DCCF_S,Fridge,,,,,
BP Solar,VR50F,VR50F,YearUnk,S,5,17.5,,Std_VR50F_S,Fridge,,,,,
Vestfrost,MK 144,MK 144,YearUnk,E,0,45,,Std_MK144_E,ElectricFridge,,,,,
Electrolux,TCW 1990,TCW 1990,YearUnk,E,0,37.5,,Std_TCW1990_E,ElectricFridge,,,,,
LEC RefrigerationPLC,VC 139 F,VC 139 F,YearUnk,E,0,107.5,,Std_VC139F_E,ElectricFridge,,,,,
Norcoast,NRC 30-10,NRC 30-10,YearUnk,S,12.2,15.5,,Std_NRC30-10_S,Fridge,,,,,
Fortum AES,CFS49 ISI,CFS49 ISI,YearUnk,S,8,20,,Std_CFS49ISI_S,Fridge,,,,,
Electrolux,FCW 20 EG/CF,FCW 20 EG/CF,YearUnk,GE,14,0,,Std_FCW20EGCF_GE,Fridge,,,,,
Electrolux,FCW 20 EK/CF,FCW 20 EK/CF,YearUnk,KE,14,0,,Std_FCW20EKCF_KE,ElectricFridge,,,,,
Vestfrost,MK 074,MK 074,YearUnk,E,0,20,,Std_MK074_E,ElectricFridge,,,,,
Sun Frost,RFVB-134a,RFVB-134a,YearUnk,S,32.5,38.7,,Std_RFVB-134a_S,Fridge,,,,,
