Name,DisplayName,Shawns display names,Secondary Packaging,Abbreviation,Vaccine presentation,Method  of administration,Doses per vial,Packed vol/dose(cc) of vaccine,Packed vol/dose(cc) of diluent,Vaccine price/vial,Vaccine price/dose,Price Units,Price Year,Doses/person,LifetimeFreezerMonths,LifetimeCoolerMonths,LifetimeRoomTempMonths,LifetimeOpenMonths,RandomKey,Notes,Link,Manufacturer
BCG_WHO_Shipping_Guide_20Dose,BCG WHO 20 Dose,BCG Generic,1 Vial,BCG,Lyophilized + 0.9% Sodium Chloride Diluent,Standard,20,1.2,0.7,,,USD,,1,0.002,36,0.001,0.01,10001,,,WHO Shipping Guidelines
BCG_BBNCIPD_10Dose,BCG BB-NCIPD 10 Dose,BCG 10 Dose ,Boxes Of 20 Vials Of 10-Doses Of Vaccine + Diluents,BCG,Lyophilized + 0.9% Sodium Chloride Diluent,Intradermal,10,2.25,2.25,,,USD,,1,0.002,36,0.001,0.01,10002,,http://www.who.int/immunization_standards/vaccine_quality/PQ_74_BCG_10_dose_ampoules_BB-NCIPD/en/index.html,BB-NCIPD Ltd.
BCG_BBNCIPD_20Dose,BCG BB-NCIPD 20 Dose,BCG 20 Dose ,Boxes Of 20 Vials Of 20-Doses Of Vaccine + Diluents,BCG,Lyophilized + 0.9% Sodium Chloride Diluent,Intradermal,20,1.125,1.13,,,USD,,1,0.002,36,0.001,0.01,10003,,http://www.who.int/immunization_standards/vaccine_quality/PQ_75_BCG_20_dose_Ampoules_BB-NCIPD/en/index.html,BB-NCIPD Ltd.
BGC_SerumIndia_10Dose,BCG SII 10 Dose,BCG 10 Dose , Carton Of 50 Vials (Active) + Carton Of 50 Ampoules Of Diluent,BCG,Lyophilized + Sodium Chloride 1 Ml Diluent,Intradermal,10,2.611,1.33,,,USD,,1,0.002,24,0.001,0.01,10004,,http://www.who.int/immunization_standards/vaccine_quality/118_bcg/en/index.html,Serum Institute of India
BGC_Statens_10Dose,BCG SSI 10 Dose,BCG 10 Dose ,Carton Of 50 Vials,BCG,Lyophilized + Diluted Sauton Diluent,Intradermal,10,1.33,1.33,,,USD,,1,0.002,24,0.001,0.01,10006,Based Diluent size on picture,http://www.who.int/immunization_standards/vaccine_quality/165_bcg/en/index.html,Statens Serum Institut
Cholera_Crucell_1Carton_1Dose,OCV Crucell 1 Dose,Dukoral: Inactivated Oral Cholera ,1 Dose Carton,OCV,Liquid,Oral,1,271,0,,,USD,,1,0.002,36,0.001,0.01,10007,"This is for the one dose carton only, (in 1 dose carton: 271,in 2 dose carton: 136,in 20 dose carton : 44, in 170 dose carton : 24.4)",http://www.who.int/immunization_standards/vaccine_quality/117_cholera/en/index.html,Crucell Sweden AB
Cholera_Crucell_2Carton1Dose,OCV Crucell 1 Dose,Dukoral: Inactivated Oral Cholera ,2 Dose Carton,OCV,Liquid,Oral,1,136,0,,,USD,,1,0.002,36,0.001,0.01,10008,"This is for the one dose carton only, (in 1 dose carton: 271,in 2 dose carton: 136,in 20 dose carton : 44, in 170 dose carton : 24.4)",http://www.who.int/immunization_standards/vaccine_quality/117_cholera/en/index.html,Crucell Sweden AB
Cholera_Crucell_20Carton_1Dose,OCV Crucell 1 Dose,Dukoral: Inactivated Oral Cholera ,20 Dose Carton,OCV,Liquid,Oral,1,44,0,,,USD,,1,0.002,36,0.001,0.01,10009,"This is for the one dose carton only, (in 1 dose carton: 271,in 2 dose carton: 136,in 20 dose carton : 44, in 170 dose carton : 24.4)",http://www.who.int/immunization_standards/vaccine_quality/117_cholera/en/index.html,Crucell Sweden AB
Cholera_Crucell_170Carton_1Dose,OCV Crucell 1 Dose,Dukoral: Inactivated Oral Cholera ,170 Dose Emergency Pack,OCV,Liquid,Oral,1,24.4,0,,,USD,,1,0.002,36,0.001,0.01,10010,"This is for the one dose carton only, (in 1 dose carton: 271,in 2 dose carton: 136,in 20 dose carton : 44, in 170 dose carton : 24.4)",http://www.who.int/immunization_standards/vaccine_quality/117_cholera/en/index.html,Crucell Sweden AB
Cholera_Shantha_1Dose,OCV Shantha 1 Dose,Shanchol: Inactivated Oral Cholera ,Carton Of 35 Vials,OCV,Liquid,Oral,1,16.8,0,,,USD,,1,0.002,24,0.001,0.01,10011,,http://www.who.int/immunization_standards/vaccine_quality/pq_250_cholera_1dose_shantha/en/index.html,Shantha Biotechnics Limited
DT_WHO_Shipping_Guide_10Dose,dT WHO 10 Dose,DT Generic 10 Dose,Generic,dT,Liquid,Intramuscular,10,3,0,,,USD,,1,0.002,36,0.001,1,10012,,,WHO Shipping Guidelines
DT_WHO_Shipping_Guide_20Dose,dT WHO 20 Dose,DT Generic 20 Dose,Generic,dT,Liquid,Intramuscular,20,2.5,0,,,USD,,1,0.002,36,0.001,1,10013,,,WHO Shipping Guidelines
DT_BBNCIPD_10Dose,dT BB-NCIPD 10 Dose,Diftet: Diptheria-Tetanus 10 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,10,4.11,0,,,USD,,1,0.002,36,0.001,1,10014,,http://www.who.int/immunization_standards/vaccine_quality/78_diptet/en/index.html,BB-NCIPD Ltd.
DT_BBNCIPD_20Dose,dT BB-NCIPD 20 Dose,Diftet: Diptheria-Tetanus 20 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,20,2.05,0,,,USD,,1,0.002,36,0.001,1,10015,,http://www.who.int/immunization_standards/vaccine_quality/79_diptet/en/index.html,BB-NCIPD Ltd.
DT_BioFarma_10Dose,dT BioFarma 10 Dose,Adsorbed Diptheria-Tetanus 10 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,10,2.1,0,,,USD,,1,0.002,24,0.001,1,10016,,http://www.who.int/immunization_standards/vaccine_quality/08_diptet/en/index.html,Bio Farma
DT_Sanofi_10Dose,dT Sanofi 10 Dose,DT VAX: Diptheria-Tetanus 10 Dose ,1 Vial,dT,Liquid,Intramuscular,10,2.46,0,,,USD,,1,0.002,36,0.001,1,10017,,http://www.who.int/immunization_standards/vaccine_quality/PQ_91_DT_10_dose_vial_Sanofi_Pasteur/en/index.html,Sanofi Pasteur
DT_SerumIndia_1Dose,dT SII 1 Dose,DT 1 Dose ,Carton Of 50 Ampoules,dT,Liquid,Intramuscular,1,15.715,0,,,USD,,1,0.002,36,0.001,0.01,10018,,http://www.who.int/immunization_standards/vaccine_quality/pq_119_diptet_1dose_sii/en/index.html,Serum Institute of India
DT_SerumIndia_10Dose,dT SII 10 Dose,DT 10 Dose ,Carton Of 50 Vials,dT,Liquid,Intramuscular,10,2.611,0,,,USD,,1,0.002,36,0.001,1,10019,,http://www.who.int/immunization_standards/vaccine_quality/pq_120_diptet_10dose_sii/en/index.html,Serum Institute of India
DT_SerumIndia_20Dose,dT SII 20 Dose,DT 20 Dose ,Carton Of 25 Vials,dT,Liquid,Intramuscular,20,2.433,0,,,USD,,1,0.002,36,0.001,1,10020,,http://www.who.int/immunization_standards/vaccine_quality/pq_121_diptet_20dose_sii/en/index.html,Serum Institute of India
DT_BBNCIPD_Adult_10Dose,dT BB-NCIPD 10 Dose,Tetadif: Diptheria-Tetanus Adult 10 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,10,4.125,0,,,USD,,1,0.002,36,0.001,1,10021,,http://www.who.int/immunization_standards/vaccine_quality/80_diptetadult/en/index.html,BB-NCIPD Ltd.
DT_BBNCIPD_Adult_20Dose,dT BB-NCIPD 20 Dose,Tetadif: Diptheria-Tetanus Adult 20 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,20,2.05,0,,,USD,,1,0.002,36,0.001,1,10022,,http://www.who.int/immunization_standards/vaccine_quality/81_diptetadult/en/index.html,BB-NCIPD Ltd.
DT_BioFarma_Adult_10Dose,dT BioFarma 10 Dose,Diptheria-Tetanus Adult 10 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,10,2.23,0,,,USD,,1,0.002,24,0.001,1,10023,,http://www.who.int/immunization_standards/vaccine_quality/pq_246_td_10dose_biofarma/en/index.html,Bio Farma
DT_Sanofi_Adult_10Dose,dT Sanofi 10 Dose,IMOVAX: Diptheria-Tetanus Adult 10 Dose ,10 Vial Carton,dT,Liquid,Intramuscular,10,2.46,0,,,USD,,1,0.002,36,0.001,1,10024,,http://www.who.int//immunization_standards/vaccine_quality/PQ_93_diptetadult_10_dose_vial_sanofi_pasteur/en/index.html,Sanofi Pasteur
DT_SerumIndia_Adult_1Dose,dT SII 1 Dose,DT Adult 1 Dose ,50 Ampoule Carton,dT,Liquid,Intramuscular,1,15.715,0,,,USD,,1,0.002,36,0.001,0.01,10025,,http://www.who.int/immunization_standards/vaccine_quality/pq_122_diptetadult_1dose_sii/en/index.html,Serum Institute of India
DT_SerumIndia_Adult_10Dose,dT SII 10 Dose,DT Adult 10 Dose ,50 Vial Carton,dT,Liquid,Intramuscular,10,2.611,0,,,USD,,1,0.002,36,0.001,1,10026,,http://www.who.int/immunization_standards/vaccine_quality/pq_123_diptetadult_10dose_sii/en/index.html,Serum Institute of India
DT_SerumIndia_Adult_20Dose,dT SII 20 Dose,DT Adult 20 Dose ,25 Vial Carton,dT,Liquid,Intramuscular,20,2.433,0,,,USD,,1,0.002,36,0.001,1,10027,,http://www.who.int/immunization_standards/vaccine_quality/pq_124_diptetadult_20dose_sii/en/index.html,Serum Institute of India
DTP_WHO_Shipping_Guide_10Dose,DTP WHO 10 Dose,DTP Generic 10 Dose,1 Vial,DTP,Liquid,Intramuscular,10,3,0,,,USD,,1,0.002,36,0.001,1,10028,,,WHO Shipping Guidelines
DTP_WHO_Shipping_Guide_20Dose,DTP WHO 20 Dose,DTP Generic 20 Dose,1 Vial,DTP,Liquid,Intramuscular,20,2.5,0,,,USD,,1,0.002,36,0.001,1,10029,,,WHO Shipping Guidelines
DTP_BioFarma_10Dose,DTP BioFarma 10 Dose,DTP Whole Cell 10 Dose ,10 Vial Carton,DTP,Liquid,Intramuscular,10,2.08,0,,,USD,,1,0.002,24,0.001,1,10030,,http://www.who.int/immunization_standards/vaccine_quality/09_dtp/en/index.html,Bio Farma
