"Country Name","Currency Name","Currency Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Notes"
"Afghanistan","afghani","AFN ",4835.8,4749.61,47.26,48.76,47.85,49.49,49.93,49.96,50.25,50.23,46.45,46.58,"","","",""
"Albania","leke","ALL ",142.818,141.26,140.15,121.86,102.78,99.87,98.1,90.43,83.89,94.98,103.94,100.51,"","","",""
"Algeria","algerian dinar","DZD ",72.1971,73.9972,79.68,77.39,72.06,73.28,72.65,69.29,64.58,72.65,74.39,72.94,"","","",""
"American Samoa","us dollar","USD","","","","","","","","","","","","","","","",""
"Andorra","euro","EUR","","","","","","","","","","","","","","","",""
"Angola","kwanza","AOA ",5.8759,11.5123,43.53,74.61,83.54,87.16,80.37,76.71,75.03,79.33,91.91,93.74,"","","",""
"Antigua and Barbuda","east caribbean dollar","XCD",2.6916,2.6707,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Argentina","argentine peso","ARS ","","",3.06,2.9,2.92,2.9,3.05,3.1,3.14,3.71,3.9,4.11,"","","",""
"Armenia","drams","AMD ","","",573.35,578.76,533.45,457.69,416.04,342.08,305.97,363.28,373.66,372.5,"","","",""
"Aruba","aruban guilder","AWG ","","",1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,"","","",""
"Australia","australian dollar","AUD","","",1.84,1.54,1.36,1.31,1.33,1.2,1.19,1.28,1.09,0.97,"","","",""
"Austria","euro","EUR",1.0843,1.1163,1.0603,0.9726,0.8047,0.8044,0.7967,0.7305,0.6833,0.7189,0.7546,0.7189,0.778,0.7531,"","http://www.oanda.com/currency/historical-rates/"
"Azerbaijan","azerbaijani manat","AZN ","","",0.97,0.98,0.98,0.95,0.89,0.86,0.82,0.8,0.8,0.79,"","","",""
"Bahamas  The","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bahrain","bahraini dinar","BHD ","","",0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,"","","",""
"Bangladesh","taka","BDT ","","",57.89,58.15,59.51,64.33,68.93,68.87,68.6,69.04,69.65,74.15,"","","",""
"","e franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Bermuda","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,"","","","",""
"Bhutan","ngultrum","BTN ","","",48.61,46.58,45.32,44.1,45.31,41.35,43.51,48.41,45.73,46.67,"","","",""
"Bolivia","boliviano","BOB ","","",7.17,7.66,7.94,8.07,8.01,7.85,7.24,7.02,7.02,6.94,"","","",""
"Bosnia and Herzegovina","konvertibilna marka","BAM ","","",2.08,1.73,1.58,1.57,1.56,1.43,1.34,1.41,1.48,1.41,"","","",""
"Botswana","pula","BWP ","","",6.33,4.95,4.69,5.11,5.84,6.14,6.83,7.16,6.79,6.84,"","","",""
"Brazil","real","BRL ","","",2.92,3.08,2.93,2.43,2.18,1.95,1.83,2,1.76,1.67,"","","",""
"Brunei Darussalam","bruneian dollar","BND","","",1.79,1.74,1.69,1.66,1.59,1.51,1.42,1.45,1.36,1.26,"","","",""
"Bulgaria","leva","BGN ","","",2.08,1.73,1.58,1.57,1.56,1.43,1.34,1.41,1.48,1.41,"","","",""
"Burkina Faso","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Burundi","burundi franc","BIF ","","",930.75,1082.62,1100.9,1081.58,1028.68,1081.87,1185.69,1230.18,1230.75,1261.07,"","","",""
"Cambodia","riel","KHR ","","",3912.08,3973.33,4016.25,4092.5,4103.25,4056.17,4054.17,4139.33,4184.92,4058.5,"","","",""
"Cameroon","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Canada","canadian dollar","CAD ","","",1.57,1.4,1.3,1.21,1.13,1.07,1.07,1.14,1.03,0.99,"","","",""
"Cape Verde","cape verde escudo","CVE ","","",117.17,97.7,88.81,88.67,87.9,80.57,75.28,79.38,83.26,79.32,"","","",""
"Cayman Islands","caymanian dollar","KYD ","","",0.83,0.83,0.83,0.83,0.83,"","","","","","","","",""
"Central African Republic","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Chad","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Channel Islands","","GBP","","","","","","","","","","","","","","","",""
"Chile","chilean peso","CLF ","","",688.94,691.4,609.53,559.77,530.28,522.46,522.46,560.86,510.25,483.67,"","","",""
"China","renminbi yuan","CNY ","","",8.28,8.28,8.28,8.19,7.97,7.61,6.95,6.83,6.77,6.46,"","","",""
"Colombia","colombian peso","COP ","","",2504.24,2877.65,2628.61,2320.83,2361.14,2078.29,1967.71,2158.26,1898.57,1848.14,"","","",""
"Comoros","comoran franc","KMF ","","",522.74,435.9,396.21,395.6,392.17,359.45,335.85,354.14,371.46,353.9,"","","",""
"Congo  Dem. Rep.","congolese franc","CDF",""," ",346.69,405.4,399.48,473.91,468.28,516.75,559.29,809.79,905.91,919.49,"","","",""
"Congo  Rep.","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Costa Rica","costa rican colones","CRC","","",359.82,398.66,437.94,477.79,511.3,516.62,526.24,573.29,525.83,505.66,"","","",""
"Cote d'Ivoire","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Croatia","kuna","HRK ","","",7.87,6.7,6.03,5.95,5.84,5.36,4.94,5.28,5.5,5.34,"","","",""
"Cuba","cuban peso","CUC ","","","","","","","","","","","","","","","",""
"Curacao","netherlands antillean guilder","ANG","","","","","","","","","","","","","","","",""
"Cyprus","euro","EUR","","",0.61,0.52,0.47,0.46,0.46,0.43,"","","","","","","",""
"Czech Republic","koruny","CZK ","","",32.74,28.21,25.7,23.96,22.6,20.29,17.07,19.06,19.1,17.7,"","","",""
"Denmark","danish kroner","DKK","","",7.89,6.59,5.99,6,5.95,5.44,5.1,5.36,5.62,5.37,"","","",""
"Djibouti","dijiboutian franc","DJF ","","",177.72,177.72,177.72,177.72,177.72,177.72,177.72,177.72,177.72,177.72,"","","",""
"Dominica","east caribbean dollar","XCD","","",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Dominican Republic","dominican peso","DOP ","","",18.61,30.83,42.12,30.41,33.36,33.26,34.62,36.03,36.88,38.11,"","","",""
"Ecuador","us dollar","USDXXX","","",1,1,1,1,1,1,1,"","","","","","",""
"Egypt  Arab Rep.","egyptian pound","EGP","","",4.5,5.85,6.2,5.78,5.73,5.64,5.43,5.54,5.62,5.93,"","","",""
"El Salvador","Salvadoran colón","SVC",8.7371,8.7507,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,"",""
"Equatorial Guinea","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Eritrea","nakfa","ERN ","","",13.96,13.88,13.79,15.37,15.38,15.38,15.38,15.38,15.38,15.38,"","","",""
"Estonia","kroon","EUR","","",16.61,13.86,12.6,12.58,12.47,11.43,10.69,11.26,"","","","","",""
"Ethiopia","birr","ETB ","","",8.57,8.6,8.64,8.67,8.7,8.97,9.6,11.78,14.41,16.9,"","","",""
"Faeroe Islands","danish kroner","DKK","","",7.89,6.59,5.99,6,5.95,5.44,5.1,5.36,5.62,5.37,"","","",""
"Fiji","fijian dollar","FJD ",2.1172,2.2659,2.19,1.9,1.73,1.69,1.73,1.61,1.59,1.96,1.92,1.79,1.79,1.79,"",""
"Finland","euro","EUR","","","","","","","","","","","","","","","",""
"France","euro","EUR","","","","","","","","","","","","","","","",""
"French Polynesia","comptoirs francais du oacifique franc","XPF ","","",126.8,105.73,96.11,95.96,95.12,87.19,"","","","","","","",""
"Gabon","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Gambia The","dalasi","GMD","","",19.92,27.31,30.03,28.58,28.07,24.88,22.19,26.64,28.01,29.46,"","","",""
"Georgia","lari","GEL","","",2.2,2.15,1.92,1.81,1.78,1.67,1.49,1.67,1.78,1.69,"","","",""
"Germany","euro","EUR","","","","","","","","","","","","","","","",""
"Ghana","cedi","GHS ","","",0.79,0.87,0.9,0.91,0.92,0.94,1.06,1.41,1.43,1.51,"","","",""
"Gibraltar","british pound","GBP","","",0.67,0.61,0.55,0.55,0.54,0.5,0.54,0.64,0.65,0.62,"","","",""
"Greece","euro","EUR","","","","","","","","","","","","","","","",""
"Greenland","danish kroner","DKK","","",7.89,6.59,5.99,6,5.95,5.44,5.1,5.36,5.62,5.37,"","","",""
"Grenada","east caribbean dollar","XCD","","",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Guam","us dollar","USD","","","","","","","","","","","","","","","",""
"Guatemala","quetzales","GTQ ","","",7.82,7.94,7.95,7.63,7.6,7.67,7.56,8.16,8.06,7.79,"","","",""
"Guinea","guinean franc","GNF ","","",1975.84,1984.93,2243.93,3644.33,5148.75,4197.75,4601.69,4801.08,5726.07,6620.84,"","","",""
"Guinea-Bissau","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Guyana","guyanese dollar","GYD ","","",190.67,193.88,198.31,199.88,200.19,202.35,203.63,203.95,203.64,204.01,"","","",""
"Haiti","gourde","HTG ","","",29.25,42.37,38.35,40.45,40.41,36.86,39.11,41.2,39.8,40.52,"","","",""
"Honduras","lempiras","HNL ","","",16.43,17.35,18.21,18.83,18.9,18.9,18.9,18.9,18.9,18.9,"","","",""
"Hong Kong SAR  China","hong kong dollar","HKD","","",7.8,7.79,7.79,7.78,7.77,7.8,7.79,7.75,7.77,7.78,"","","",""
"Hungary","forints","HUF ","","",257.89,224.31,202.75,199.58,210.39,183.63,172.11,202.34,207.94,201.06,"","","",""
