Keyword,DisplayName,Type,DefaultValue,Level,Order,Description,Notes
rundays,Number of Simulation Days,int,336,1,1,Number of Days for Simulation,
factoryshipmentsperyear,Number of Shipments to the Factory per Year,float,4,1,2,The factory will ship this many times per year at equal intervals,
factoryoverstockscale,Factor to Scale Factory Shipments for Buffer Stock,float,1,1,3,Scale the anticipated demand by this factor to determine factory production,
openvialcompliance,Compliance with MVDP,probability,1,1,4,Probability of complying with the openvial policy of a country,
mdvp,Institute Multi-dose Vial Policy?,TF,TRUE,1,5,Is there a multi-dose vial policy in place or not,
factorystartuplatency,Startup Latency for the Factory,float,0,2,6,Time in days after 0.0 that the factory makes its first delivery and begins its cycle,
burnindays,Number of Burn-in Days,int,168,2,7,Number of Days of Burning for the simulation,
seed,Random Number Seed,long_list,None,2,8,set random seed,
wasteestupdatelatency,Wastage Estimation Latency,float,50,2,9,latency until start-up of OVW update process,
pickupdelayfrequency,Global Frequency of Delay in Picking Up Shipments,floatOrNone,None,2,10,frequency of shipping delay incurred before transport starts (0.0-1.0),
pickupdelaymagnitude,Global Magnitude of Delay in Picking Up Shipments,floatOrNone,None,2,11,magnitude in days of shipping delays,
pickupdelaysigma,STDev for Normal Distribution of Delay in Picking Up Vaccines,floatOrNone,None,2,12,if this value exists use a normal distribution for the delay with this value as the standard deviation,
pickupdelayreorder,Recalculation Order After a Pickup Delay (Pull Shipments Only),TF,FALSE,2,13,if set we recalculate the order on a pull shipment,z
deliverydelayfrequency,Frequency of Delay in Delivery,floatOrNone,None,2,14,frequency of shipping delay incurred during transport (0.0-1.0),
deliverydelaymagnitude,Global Magnitude of Delay in Delivery,floatOrNone,None,2,15,magnitude in days of shipping delays,
deliverydelaysigma,STDev for Normal Distribution of Delivery,floatOrNone,None,2,16,if this value exists use a normal distribution for the delay with this value as the standard deviation,
shippingdelayseed,Random Number Seed for Shipping Delays,longOrNone,None,2,17,if exists use a separate random number generator seeded with this value for any shipping delay processes not explicitly overridden in the routes file,
poweroutagefrequencyperyear,Global Frequency for Power Outages Per Year,floatOrNone,None,2,18, frequency of power outages per cluster per year,
poweroutagedurationdays,Global Duration Days for Power Outages,floatOrNone,None,2,19, duration of power outages,
poweroutagedurationsigma,STDev for Normal Distribution for Power Outages,floatOrNone,None,2,20, if exists use normal distribution for power outage duration with this value as the standard deviation,
poweroutageaffectedratio,Percent Chance of Warehouse Experiencing Power Outage within its Cluster,floatOrNone,None,2,21, if exists percent chance of a warehouse to be affected within its cluster,
poweroutageclusterid,Power Outage Cluster ID,stringOrNone,None,2,22, if exists sets a default clusterid for unlabeled poweroutage records,
stockmonitorinterval,Interval in which to Monitor the Stock at Warehouses,float,0.1,2,23,interval to monitor stock at each store to look for overstocking,
